アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
イベサー	special|event|club	S_P_EH1_SH_AH0_L|IH0_V_EH1_N_T|K_L_AH1_B
ニュージーランドミナミアユ	new|zealand|grayling	N_UW1|Z_IY1_L_AH0_N_D|G_R_EY1_L_IH0_NG
シャモ	non|ainu|japanese	N_AA1_N|EY1_N_UW2|JH_AE2_P_AH0_N_IY1_Z
シサム	non|ainu|japanese	N_AA1_N|EY1_N_UW2|JH_AE2_P_AH0_N_IY1_Z
ブナピー	white|beech|mushroom	W_AY1_T|B_IY1_CH|M_AH1_SH_R_UW0_M
マカニ	indian|butter|sauce	IH1_N_D_IY0_AH0_N|B_AH1_T_ER0|S_AO1_S
マカーニ	indian|butter|sauce	IH1_N_D_IY0_AH0_N|B_AH1_T_ER0|S_AO1_S
ミニバスチーム	junior|basketball|team	JH_UW1_N_Y_ER0|B_AE1_S_K_AH0_T_B_AO2_L|T_IY1_M
コミミイヌ	short|eared|dog	SH_AO1_R_T|IH1_R_D|D_AO1_G
チベットスナギツネ	tibetan|sand|fox	T_IH0_B_EH1_T_AH0_N|S_AE1_N_D|F_AA1_K_S
ハイイロネコ	chinese|mountain|cat	CH_AY0_N_IY1_Z|M_AW1_N_T_AH0_N|K_AE1_T
アンデスネコ	andean|mountain|cat	AE1_N_D_IY0_AH0_N|M_AW1_N_T_AH0_N|K_AE1_T
サビイロネコ	rusty|spotted|cat	R_AH1_S_T_IY0|S_P_AA1_T_IH0_D|K_AE1_T
ブタアシバンディクート	pig|footed|bandicoot	P_IH1_G|F_UH1_T_IH0_D|B_AE1_N_D_IH0_K_UW2_T
オオミミハリネズミ	long|eared|hedgehog	L_AO1_NG|IH1_R_D|HH_EH1_JH_HH_AA2_G
アルジェリアハリネズミ	north|african|hedgehog	N_AO1_R_TH|AE1_F_R_IH0_K_AA0_N|HH_EH1_JH_HH_AA2_G
ヨツユビハリネズミ	four|toed|hedgehog	F_AO1_R|T_OW1_D|HH_EH1_JH_HH_AA2_G
アカビタイキツネザル	red|fronted|lemur	R_EH1_D|F_R_AH1_N_T_IH0_D|L_IY1_M_ER0
サンフォードキツネザル	sanford's|brown|lemur	S_AE1_N_F_ER0_D_Z|B_R_AW1_N|L_IY1_M_ER0
ヒロバナジェントルキツネザル	greater|bamboo|lemur	G_R_EY1_T_ER0|B_AE0_M_B_UW1|L_IY1_M_ER0
キンイロジェントルキツネザル	golden|bamboo|lemur	G_OW1_L_D_AH0_N|B_AE0_M_B_UW1|L_IY1_M_ER0
フサオマングース	bushy|tailed|mongoose	B_UH1_SH_IY0|T_EY1_L_D|M_AA1_NG_G_UW0_S
クロアシマングース	black|footed|mongoose	B_L_AE1_K|F_UH1_T_IH0_D|M_AA1_NG_G_UW0_S
ヒガシコビトマングース	ethiopian|dwarf|mongoose	IY2_TH_IY0_OW1_P_IY0_AH0_N|D_W_AO1_R_F|M_AA1_NG_G_UW0_S
コビトマングース	common|dwarf|mongoose	K_AA1_M_AH0_N|D_W_AO1_R_F|M_AA1_NG_G_UW0_S
チビオマングース	short|tailed|mongoose	SH_AO1_R_T|T_EY1_L_D|M_AA1_NG_G_UW0_S
インドトビイロマングース	indian|brown|mongoose	IH1_N_D_IY0_AH0_N|B_R_AW1_N|M_AA1_NG_G_UW0_S
ハナナガマングース	long|nosed|mongoose	L_AO1_NG|N_OW1_Z_D|M_AA1_NG_G_UW0_S
カニクイマングース	crab|eating|mongoose	K_R_AE1_B|IY1_T_IH0_NG|M_AA1_NG_G_UW0_S
クロスジマングース	stripe|necked|mongoose	S_T_R_AY1_P|N_EH1_K_T|M_AA1_NG_G_UW0_S
シロオマングース	white|tailed|mongoose	W_AY1_T|T_EY1_L_D|M_AA1_NG_G_UW0_S
ヒメアルマジロ	pink|fairy|armadillo	P_IH1_NG_K|F_EH1_R_IY0|AA2_R_M_AH0_D_IH1_L_OW0
ヒバゴン	mythical|japanese|hominid	M_IH1_TH_AH0_K_AH0_L|JH_AE2_P_AH0_N_IY1_Z|HH_AA1_M_AH0_N_IH0_D
ピンサロ	nightclub|with|hostesses	N_AY1_T_K_L_AH2_B|W_IH1_DH|HH_OW1_S_T_AH0_S_AH0_Z
コリンガゼル	red|fronted|gazelle	R_EH1_D|F_R_AH1_N_T_IH0_D|G_AH0_Z_EH1_L
カラコン	colored|contact|lens	K_AH1_L_ER0_D|K_AA1_N_T_AE2_K_T|L_EH1_N_Z
プンスカ	sound|expressing|anger	S_AW1_N_D|IH0_K_S_P_R_EH1_S_IH0_NG|AE1_NG_G_ER0
ネトウヨ	online|right|wingers	AO1_N_L_AY2_N|R_AY1_T|W_IH1_NG_ER0_Z
ネットウヨ	online|right|wingers	AO1_N_L_AY2_N|R_AY1_T|W_IH1_NG_ER0_Z
バカウヨ	stupid|right|winger	S_T_UW1_P_IH0_D|R_AY1_T|W_IH1_NG_ER0
プレイヤード	baby's|play|pen	B_EY1_B_IY0_Z|P_L_EY1|P_EH1_N
ヤールギュレシ	turkish|oil|wrestling	T_ER1_K_IH0_SH|OY1_L|R_EH1_S_L_IH0_NG
ヤールギュレシュ	turkish|oil|wrestling	T_ER1_K_IH0_SH|OY1_L|R_EH1_S_L_IH0_NG
ソーハラ	social|media|harassment	S_OW1_SH_AH0_L|M_IY1_D_IY0_AH0|HH_ER0_AE1_S_M_AH0_N_T
ウッキー	sound|monkeys|make	S_AW1_N_D|M_AH1_NG_K_IY0_Z|M_EY1_K
ゲハ	video|game|hardware	V_IH1_D_IY0_OW0|G_EY1_M|HH_AA1_R_D_W_EH2_R
ジャンボタニシ	channeled|apple|snail	CH_AE1_N_AH0_L_D|AE1_P_AH0_L|S_N_EY1_L
フクロユキノシタ	albany|pitcher|plant	AO1_L_B_AH0_N_IY0|P_IH1_CH_ER0|P_L_AE1_N_T
ラプラタカワイルカ	la|plata|dolphin	L_AA1|P_L_AA1_T_AH0|D_AA1_L_F_AH0_N
アマゾンカワイルカ	amazon|river|dolphin	AE1_M_AH0_Z_AA2_N|R_IH1_V_ER0|D_AA1_L_F_AH0_N
エキナセア	eastern|purple|coneflower	IY1_S_T_ER0_N|P_ER1_P_AH0_L|K_OW1_N_F_L_AW2_ER0
キレカワ	cute|and|pretty	K_Y_UW1_T|AH0_N_D|P_R_IH1_T_IY0
ピパーツ	javanese|long|pepper	JH_AA2_V_AH0_N_IY1_Z|L_AO1_NG|P_EH1_P_ER0
ピパーチ	javanese|long|pepper	JH_AA2_V_AH0_N_IY1_Z|L_AO1_NG|P_EH1_P_ER0
ピパーズ	javanese|long|pepper	JH_AA2_V_AH0_N_IY1_Z|L_AO1_NG|P_EH1_P_ER0
ピィーヤシ	javanese|long|pepper	JH_AA2_V_AH0_N_IY1_Z|L_AO1_NG|P_EH1_P_ER0
サイネージ	digital|signage|display	D_IH1_JH_AH0_T_AH0_L|S_AY1_N_IH0_JH|D_IH0_S_P_L_EY1
ゲーオタ	video|game|nerd	V_IH1_D_IY0_OW0|G_EY1_M|N_ER1_D
ギタギタ	severely|beaten|up	S_AH0_V_IH1_R_L_IY0|B_IY1_T_AH0_N|AH1_P
ギッタギタ	severely|beaten|up	S_AH0_V_IH1_R_L_IY0|B_IY1_T_AH0_N|AH1_P
ギタンギタン	severely|beaten|up	S_AH0_V_IH1_R_L_IY0|B_IY1_T_AH0_N|AH1_P
ギッタンギッタン	severely|beaten|up	S_AH0_V_IH1_R_L_IY0|B_IY1_T_AH0_N|AH1_P
パリコレ	paris|fashion|week	P_EH1_R_IH0_S|F_AE1_SH_AH0_N|W_IY1_K
ボラバイト	paid|volunteer|work	P_EY1_D|V_AA2_L_AH0_N_T_IH1_R|W_ER1_K
オオカンガルー	eastern|grey|kangaroo	IY1_S_T_ER0_N|G_R_EY1|K_AE2_NG_G_ER0_UW1
シマウサギワラビー	banded|hare|wallaby	B_AE1_N_D_IH0_D|HH_EH1_R|W_AA1_L_AH0_B_IY2
コンデジ	compact|digital|camera	K_AA1_M_P_AE0_K_T|D_IH1_JH_AH0_T_AH0_L|K_AE1_M_ER0_AH0
オフショル	off|the|shoulder	AO1_F|DH_AH0|SH_OW1_L_D_ER0
バカゲー	silly|video|game	S_IH1_L_IY0|V_IH1_D_IY0_OW0|G_EY1_M
アトランティックシーネットル	atlantic|sea|nettle	AH0_T_L_AE1_N_T_IH0_K|S_IY1|N_EH1_T_AH0_L
インドオオリス	indian|giant|squirrel	IH1_N_D_IY0_AH0_N|JH_AY1_AH0_N_T|S_K_W_ER1_AH0_L
リュスティック	country|style|bread	K_AH1_N_T_R_IY0|S_T_AY1_L|B_R_EH1_D
サビラン	eating|lunch|alone	IY1_T_IH0_NG|L_AH1_N_CH|AH0_L_OW1_N
バッセン	batting|practice|facility	B_AE1_T_IH0_NG|P_R_AE1_K_T_IH0_S|F_AH0_S_IH1_L_IH0_T_IY0
ビタイチ	in|the|slightest	IH0_N|DH_AH0|S_L_AY1_T_AH0_S_T
チェケラ	check|it|out	CH_EH1_K|IH1_T|AW1_T
バカサヨ	stupid|left|winger	S_T_UW1_P_IH0_D|L_EH1_F_T|W_IH1_NG_ER0
イヤモニ	in|ear|monitor	IH0_N|IY1_R|M_AA1_N_AH0_T_ER0
マイナンバーカード	my|number|card	M_AY1|N_AH1_M_B_ER0|K_AA1_R_D
エレガ	female|elevator|operator	F_IY1_M_EY2_L|EH1_L_AH0_V_EY2_T_ER0|AA1_P_ER0_EY2_T_ER0
イケボ	attractive|male|voice	AH0_T_R_AE1_K_T_IH0_V|M_EY1_L|V_OY1_S
ポルトープランス	port|au|prince	P_AO1_R_T|OW1|P_R_IH1_N_S
ハクスラ	hack|and|slash	HH_AE1_K|AH0_N_D|S_L_AE1_SH
プルバック	pull|back|spring	P_UH1_L|B_AE1_K|S_P_R_IH1_NG
ロコミ	word|of|mouth	W_ER1_D|AH1_V|M_AW1_TH
オタサー	group|of|geeks	G_R_UW1_P|AH1_V|G_IY1_K_S
ミニパト	mini|patrol|car	M_IH1_N_IY0|P_AH0_T_R_OW1_L|K_AA1_R
ヤケヒョウヒダニ	house|dust|mite	HH_AW1_S|D_AH1_S_T|M_AY1_T
モバブ	portable|cellphone|charger	P_AO1_R_T_AH0_B_AH0_L|S_EH1_L_F_OW0_N|CH_AA1_R_JH_ER0
タバコミュニケーション	conversation|while|smoking	K_AA2_N_V_ER0_S_EY1_SH_AH0_N|W_AY1_L|S_M_OW1_K_IH0_NG
マイナカード	my|number|card	M_AY1|N_AH1_M_B_ER0|K_AA1_R_D
ケンタ	kentucky|fried|chicken	K_AH0_N_T_AH1_K_IY0|F_R_AY1_D|CH_IH1_K_AH0_N
キーマウ	keyboard|and|mouse	K_IY1_B_AO2_R_D|AH0_N_D|M_AW1_S
イエベ	yellowish|skin|tone	Y_EH1_L_OW0_IH0_SH|S_K_IH1_N|T_OW1_N
ブルベ	bluish|skin|tone	B_L_UW1_IH0_SH|S_K_IH1_N|T_OW1_N
アーパー	stupid|person	S_T_UW1_P_IH0_D|P_ER1_S_AH0_N
アイスクリーム	ice|cream	AY1_S|K_R_IY1_M
アイボリーホワイト	ivory|white	AY1_V_ER0_IY0|W_AY1_T
アシメトリックデザイン	asymmetric|design	EY2_S_AH0_M_EH1_T_R_IH0_K|D_IH0_Z_AY1_N
アスコットタイ	ascot|tie	AE1_S_K_AA2_T|T_AY1
アストロラマ	astro|rama	AE1_S_T_R_OW0|R_AA1_M_AH0
アスピリンスノー	aspirin|snow	AE1_S_P_R_IH0_N|S_N_OW1
アドオン	add|on	AE1_D|AA1_N
アドリブ	ad|lib	AE1_D|L_IH1_B
アナコン	analog|computer	AE1_N_AH0_L_AO2_G|K_AH0_M_P_Y_UW1_T_ER0
アナデジ	analog|digital	AE1_N_AH0_L_AO2_G|D_IH1_JH_AH0_T_AH0_L
アパート	apartment|building	AH0_P_AA1_R_T_M_AH0_N_T|B_IH1_L_D_IH0_NG
アポインテシステム	appointment|system	AH0_P_OY1_N_T_M_AH0_N_T|S_IH1_S_T_AH0_M
アポインテメントシステム	appointment|system	AH0_P_OY1_N_T_M_AH0_N_T|S_IH1_S_T_AH0_M
アメフト	american|football	AH0_M_EH1_R_IH0_K_AH0_N|F_UH1_T_B_AO2_L
アメフット	american|football	AH0_M_EH1_R_IH0_K_AH0_N|F_UH1_T_B_AO2_L
アメラグ	american|football	AH0_M_EH1_R_IH0_K_AH0_N|F_UH1_T_B_AO2_L
アリッグ	american|league	AH0_M_EH1_R_IH0_K_AH0_N|L_IY1_G
アングロアラブ	anglo|arab	AE1_NG_G_L_OW0|AE1_R_AH0_B
アンサホン	answer|phone	AE1_N_S_ER0|F_OW1_N
アンチエスタブリッシュメント	anti|establishment	AE1_N_T_IY2|IH0_S_T_AE1_B_L_IH0_SH_M_AH0_N_T
アンチロマン	anti|roman	AE1_N_T_IY2|R_OW1_M_AH0_N
イーサーボード	ether|board	IY1_TH_ER0|B_AO1_R_D
イージーゴーイング	easy|going	IY1_Z_IY0|G_OW1_IH0_NG
イエスマン	yes|man	Y_EH1_S|M_AE1_N
イッチ	original|poster	ER0_IH1_JH_AH0_N_AH0_L|P_OW1_S_T_ER0
イメチェン	image|change	IH1_M_AH0_JH|CH_EY1_N_JH
インターゼミ	inter|seminar	IH2_N_T_ER1|S_EH1_M_AH0_N_AA2_R
インテリアアドバイサー	interior|adviser	IH2_N_T_IH1_R_IY0_ER0|AE0_D_V_AY1_Z_ER0
インナーベンチャー	inner|venture	IH1_N_ER0|V_EH1_N_CH_ER0
インハウス	in|house	IH0_N|HH_AW1_S
インパネ	instrument|panel	IH1_N_S_T_R_AH0_M_AH0_N_T|P_AE1_N_AH0_L
インフォメーションギャプ	information|gap	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|G_AE1_P
インベステメントカウンセラー	investment|counselor	IH2_N_V_EH1_S_T_M_AH0_N_T|K_AW1_N_S_AH0_L_ER0
インベステメントバンク	investment|bank	IH2_N_V_EH1_S_T_M_AH0_N_T|B_AE1_NG_K
インライン	in|line	IH0_N|L_AY1_N
ウーリーコットン	woolly|cotton	W_UH1_L_IY0|K_AA1_T_AH0_N
ウーリーナイロン	woolly|nylon	W_UH1_L_IY0|N_AY1_L_AA2_N
ウィーンアピール	vienna|appeal	V_IY0_EH1_N_AH0|AH0_P_IY1_L
ウィンドウショッピング	window|gazing	W_IH1_N_D_OW0|G_EY1_Z_IH0_NG
ウインドーショッピング	window|gazing	W_IH1_N_D_OW0|G_EY1_Z_IH0_NG
ウィンドーショッピング	window|gazing	W_IH1_N_D_OW0|G_EY1_Z_IH0_NG
ウェルダン	well|done	W_EH1_L|D_AH1_N
ウエルダン	well|done	W_EH1_L|D_AH1_N
ウエーティングシステム	waiting|system	W_EY1_T_IH0_NG|S_IH1_S_T_AH0_M
ウエートリフティング	weight|lifting	W_EY1_T|L_IH1_F_T_IH0_NG
ウエイトリフティング	weight|lifting	W_EY1_T|L_IH1_F_T_IH0_NG
ウェイトリフティング	weight|lifting	W_EY1_T|L_IH1_F_T_IH0_NG
ウェートリフティング	weight|lifting	W_EY1_T|L_IH1_F_T_IH0_NG
ウエーブフロント	wave|front	W_EY1_V|F_R_AH1_N_T
ウォーキートーキー	walkie|talkie	W_AO1_K_IY0|T_AO1_K_IY0
ウォーゲーム	war|game	W_AO1_R|G_EY1_M
ウォームアップ	warm|up	W_AO1_R_M|AH1_P
ウオームアップ	warm|up	W_AO1_R_M|AH1_P
エージグループ	age|group	EY1_JH|G_R_UW1_P
エアコン	air|con	EH1_R|K_AA1_N
エヤコン	air|con	EH1_R|K_AA1_N
エバミルク	evaporated|milk	IH0_V_AE1_P_ER0_EY2_T_AH0_D|M_IH1_L_K
エポックメーキング	epoch|making	EH1_P_AH0_K|M_EY1_K_IH0_NG
エポックメイキング	epoch|making	EH1_P_AH0_K|M_EY1_K_IH0_NG
エラーシグナル	error|signal	EH1_R_ER0|S_IH1_G_N_AH0_L
エルドラド	el|dorado	EH1_L|D_AO0_R_AA1_D_OW0
エレクトロオフィス	electronic|office	IH2_L_EH2_K_T_R_AA1_N_IH0_K|AO1_F_AH0_S
エレクトロコテージ	electronic|cottage	IH2_L_EH2_K_T_R_AA1_N_IH0_K|K_AA1_T_AH0_JH
エレクトロバンキング	electronic|banking	IH2_L_EH2_K_T_R_AA1_N_IH0_K|B_AE1_NG_K_IH0_NG
エレック	electronic|cooking	IH2_L_EH2_K_T_R_AA1_N_IH0_K|K_UH1_K_IH0_NG
エロス	sexual|desire	S_EH1_K_SH_UW0_AH0_L|D_IH0_Z_AY1_ER0
エロダクション	erotic|production	IH0_R_AA1_T_IH0_K|P_R_AH0_D_AH1_K_SH_AH0_N
エンスト	engine|stall	EH1_N_JH_AH0_N|S_T_AO1_L
エンドカーラー	end|curler	EH1_N_D|K_ER1_L_ER0
エンプラ	engineering|plastics	EH1_N_JH_AH0_N_IH1_R_IH0_NG|P_L_AE1_S_T_IH0_K_S
オートナース	auto|nurse	AO1_T_OW0|N_ER1_S
オートパーラー	auto|parlor	AO1_T_OW0|P_AA1_R_L_ER0
オートマニピュレーター	auto|manipulator	AO1_T_OW0|M_AH0_N_IH1_P_Y_AH0_L_EY2_T_ER0
オートレース	auto|race	AO1_T_OW0|R_EY1_S
オートレイズ	auto|raise	AO1_T_OW0|R_EY1_Z
オーナードライバー	owner|driver	OW1_N_ER0|D_R_AY1_V_ER0
オーナーパイロット	owner|pilot	OW1_N_ER0|P_AY1_L_AH0_T
オープンエア	open|air	OW1_P_AH0_N|EH1_R
オーライ	all|right	AO1_L|R_AY1_T
オールドタイマー	old|timer	OW1_L_D|T_AY1_M_ER0
オールドファッション	old|fashioned	OW1_L_D|F_AE1_SH_AH0_N_D
オールナイト	all|night	AO1_L|N_AY1_T
オールパーパス	all|purpose	AO1_L|P_ER1_P_AH0_S
オールヴォワール	au|revoir	OW1|R_IH0_V_W_AA1_R
オールボワール	au|revoir	OW1|R_IH0_V_W_AA1_R
オールボアール	au|revoir	OW1|R_IH0_V_W_AA1_R
オールラウンド	all|round	AO1_L|R_AW1_N_D
オールリスクス	all|risks	AO1_L|R_IH1_S_K_S
オールロケ	all|locations	AO1_L|L_OW0_K_EY1_SH_AH0_N_Z
オイルヒーター	oil|heater	OY1_L|HH_IY1_T_ER0
オカルチャー	occult|culture	AH0_K_AH1_L_T|K_AH1_L_CH_ER0
オフコン	office|computer	AO1_F_AH0_S|K_AH0_M_P_Y_UW1_T_ER0
オフサイド	off|side	AO1_F|S_AY1_D
オフリミット	off|limits	AO1_F|L_IH1_M_AH0_T_S
オフロード	off|road	AO1_F|R_OW1_D
オブジェクトオリエンテッド	object|oriented	AA1_B_JH_EH0_K_T|AO1_R_IY0_EH2_N_T_AH0_D
オプアート	op|art	AA1_P|AA1_R_T
オップアート	op|art	AA1_P|AA1_R_T
オンオフ	on|off	AA1_N|AO1_F
オンサイト	on|site	AA1_N|S_AY1_T
オンサイド	on|side	AA1_N|S_AY1_D
オンマイク	on|mike	AA1_N|M_AY1_K
カーセックス	car|sex	K_AA1_R|S_EH1_K_S
カウンタープロパゲーション	counter|propagation	K_AW1_N_T_ER0|P_R_AA2_P_AH0_G_EY1_SH_AH0_N
カスタムメイド	custom|made	K_AH1_S_T_AH0_M|M_EY1_D
カスタムメード	custom|made	K_AH1_S_T_AH0_M|M_EY1_D
カブスカウト	cub|scout	K_AH1_B|S_K_AW1_T
カメラアイ	camera|eye	K_AE1_M_ER0_AH0|AY1
カメラルポ	camera|reportage	K_AE1_M_ER0_AH0|R_IH0_P_AO1_R_T_IH0_JH
カメラルポルタージュ	camera|reportage	K_AE1_M_ER0_AH0|R_IH0_P_AO1_R_T_IH0_JH
カレントトピックス	current|topics	K_ER1_AH0_N_T|T_AA1_P_IH0_K_S
カンコロジー	kan|ecology	K_AE1_N|IH0_K_AA1_L_AH0_JH_IY0
カンパ	fundraising|campaign	F_AH1_N_D_R_EY2_S_IH0_NG|K_AE0_M_P_EY1_N
ガーデンスモーカー	garden|smoker	G_AA1_R_D_AH0_N|S_M_OW1_K_ER0
ガム	chewing|gum	CH_UW1_IH0_NG|G_AH1_M
ガンショップ	gun|shop	G_AH1_N|SH_AA1_P
ガンベルト	gun|belt	G_AH1_N|B_EH1_L_T
キーストローク	key|stroke	K_IY1|S_T_R_OW1_K
キータッチ	key|touch	K_IY1|T_AH1_CH
キープ	to|keep	T_UW1|K_IY1_P
キーホールジャーナリズム	keyhole|journalism	K_IY1_HH_OW2_L|JH_ER1_N_AH0_L_IH2_Z_AH0_M
キーマップ	key|map	K_IY1|M_AE1_P
キッチンプログラマー	kitchen|programmer	K_IH1_CH_AH0_N|P_R_OW1_G_R_AE2_M_ER0
キャタピラ	caterpillar|track	K_AE1_T_AH0_P_IH2_L_ER0|T_R_AE1_K
キャタピラー	caterpillar|track	K_AE1_T_AH0_P_IH2_L_ER0|T_R_AE1_K
カタピラ	caterpillar|track	K_AE1_T_AH0_P_IH2_L_ER0|T_R_AE1_K
カタピラー	caterpillar|track	K_AE1_T_AH0_P_IH2_L_ER0|T_R_AE1_K
キャッツアイ	cat's|eye	K_AE1_T_S|AY1
キューバンヒール	cuban|heel	K_Y_UW1_B_AH0_N|HH_IY1_L
キングサイズ	king|size	K_IH1_NG|S_AY1_Z
クーラー	air|conditioner	EH1_R|K_AH0_N_D_IH1_SH_AH0_N_ER0
クールボックス	cool|box	K_UW1_L|B_AA1_K_S
クラシック	classical|music	K_L_AE1_S_IH0_K_AH0_L|M_Y_UW1_Z_IH0_K
クラッシック	classical|music	K_L_AE1_S_IH0_K_AH0_L|M_Y_UW1_Z_IH0_K
クラッシク	classical|music	K_L_AE1_S_IH0_K_AH0_L|M_Y_UW1_Z_IH0_K
クローズアップ	close|up	K_L_OW1_S|AH1_P
クロスチェック	cross|check	K_R_AO1_S|CH_EH1_K
クロスポスト	cross|post	K_R_AO1_S|P_OW1_S_T
クロスレファレンス	cross|reference	K_R_AO1_S|R_EH1_F_ER0_AH0_N_S
グッドルッキング	good|looking	G_UH1_D|L_UH1_K_IH0_NG
グライコ	graphic|equalizer	G_R_AE1_F_IH0_K|IY1_K_W_AH0_L_AY2_Z_ER0
グラウンド	sports|ground	S_P_AO1_R_T_S|G_R_AW1_N_D
グラウンドストローク	ground|stroke	G_R_AW1_N_D|S_T_R_OW1_K
グラウンドゼロ	ground|zero	G_R_AW1_N_D|Z_IY1_R_OW0
グラウンドボーイ	bat|boy	B_AE1_T|B_OY1
グラウンドルール	ground|rule	G_R_AW1_N_D|R_UW1_L
グラフマッチング	graph|matching	G_R_AE1_F|M_AE1_CH_IH0_NG
グルーピングエフェクト	grouping|effect	G_R_UW1_P_IH0_NG|IH0_F_EH1_K_T
グレーカラー	gray|collar	G_R_EY1|K_AA1_L_ER0
グロースターター	glow|starter	G_L_OW1|S_T_AA1_R_T_ER0
グローバルウォー	global|war	G_L_OW1_B_AH0_L|W_AO1_R
ゲーセン	game|arcade	G_EY1_M|AA0_R_K_EY1_D
ゲイセン	game|arcade	G_EY1_M|AA0_R_K_EY1_D
ゲイ	gay|person	G_EY1|P_ER1_S_AH0_N
コースター	roller|coaster	R_OW1_L_ER0|K_OW1_S_T_ER0
コードブックス	code|books	K_OW1_D|B_UH1_K_S
コーポ	apartment|building	AH0_P_AA1_R_T_M_AH0_N_T|B_IH1_L_D_IH0_NG
コールタン	cold|tongue	K_OW1_L_D|T_AH1_NG
コアキシャルスピーカー	coaxial|loudspeaker	K_OW1_AE1_K_S_IY0_AH0_L|L_AW1_D_S_P_IY2_K_ER0
コアダンプ	core|dump	K_AO1_R|D_AH1_M_P
コスタリカ	costa|rica	K_AO1_S_T_AA0|R_IY1_K_AH0
コミック	comic|books	K_AA1_M_IH0_K|B_UH1_K_S
コミント	communications|intelligence	K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N_Z|IH2_N_T_EH1_L_AH0_JH_AH0_N_S
コモンセンス	common|sense	K_AA1_M_AH0_N|S_EH1_N_S
コングロマーチャント	conglomerate|merchant	K_AH0_N_G_L_AA1_M_ER0_AH0_T|M_ER1_CH_AH0_N_T
コンシューリサーチ	consumers'|research	K_AH0_N_S_UW1_M_ER0_Z|R_IY0_S_ER1_CH
コンシューマーズリレーション	consumers'|relation	K_AH0_N_S_UW1_M_ER0_Z|R_IY0_L_EY1_SH_AH0_N
コンセショナリーチェーン	concessionary|chain	K_AH0_N_S_EH1_SH_AH0_N_EH2_R_IY0|CH_EY1_N
コンパニオン	promotional|model	P_R_AH0_M_OW1_SH_AH0_N_AH0_L|M_AA1_D_AH0_L
コンビニ	convenience|store	K_AH0_N_V_IY1_N_Y_AH0_N_S|S_T_AO1_R
コンベニ	convenience|store	K_AH0_N_V_IY1_N_Y_AH0_N_S|S_T_AO1_R
コンピュータービジョン	computer|vision	K_AH0_M_P_Y_UW1_T_ER0|V_IH1_ZH_AH0_N
コンピュータビジョン	computer|vision	K_AH0_M_P_Y_UW1_T_ER0|V_IH1_ZH_AH0_N
コンピュータミュージック	computer|music	K_AH0_M_P_Y_UW1_T_ER0|M_Y_UW1_Z_IH0_K
コンピュニケーション	computer|communication	K_AH0_M_P_Y_UW1_T_ER0|K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N
ゴーカート	go|cart	G_OW1|K_AA1_R_T
ゴーゴー	go|go	G_OW1|G_OW1
ゴシップメーカー	gossip|maker	G_AA1_S_AH0_P|M_EY1_K_ER0
サーフトローリング	surf|trolling	S_ER1_F|T_R_OW1_L_IH0_NG
サイドローブ	side|lobe	S_AY1_D|L_OW1_B
サインレンゲージ	sign|language	S_AY1_N|L_AE1_NG_G_W_AH0_JH
サウジ	saudi|arabia	S_AO1_D_IY0|AH0_R_EY1_B_IY0_AH0
サステイニングプログラム	sustaining|program	S_AH0_S_T_EY1_N_IH0_NG|P_R_OW1_G_R_AE2_M
サセプロ	sustaining|program	S_AH0_S_T_EY1_N_IH0_NG|P_R_OW1_G_R_AE2_M
サバティカル	sabbatical|leave	S_AH0_B_AE1_T_IH0_K_AH0_L|L_IY1_V
サブグラフ	sub|graph	S_AH1_B|G_R_AE1_F
サブゴール	sub|goal	S_AH1_B|G_OW1_L
サブネットワーク	sub|network	S_AH1_B|N_EH1_T_W_ER2_K
サブパターン	sub|pattern	S_AH1_B|P_AE1_T_ER0_N
サブパタン	sub|pattern	S_AH1_B|P_AE1_T_ER0_N
サブプロセス	sub|process	S_AH1_B|P_R_AA1_S_EH2_S
サブメニュー	sub|menu	S_AH1_B|M_EH1_N_Y_UW0
サブリナパンツ	sabrina|pants	S_AH0_B_R_IY1_N_AH0|P_AE1_N_T_S
サマソルトターン	somersault|turn	S_AH1_M_ER0_S_AO2_L_T|T_ER1_N
サロゲートマザー	surrogate|mother	S_ER1_AH0_G_AH0_T|M_AH1_DH_ER0
サワー	sour|cocktail	S_AW1_ER0|K_AA1_K_T_EY2_L
サンキュー	thank|you	TH_AE1_NG_K|Y_UW1
サンキュ	thank|you	TH_AE1_NG_K|Y_UW1
センキュー	thank|you	TH_AE1_NG_K|Y_UW1
センキュ	thank|you	TH_AE1_NG_K|Y_UW1
サンタフェ	santa|fe	S_AE1_N_T_AH0|F_EY1
サンドバッグ	punching|bag	P_AH1_N_CH_IH0_NG|B_AE1_G
サンノゼ	san|jose	S_AE1_N|HH_OW2_Z_EY1
シーレン	sea|lane	S_IY1|L_EY1_N
シーレーン	sea|lane	S_IY1|L_EY1_N
シェルスクリプト	shell|script	SH_EH1_L|S_K_R_IH1_P_T
シザーカット	scissors|cut	S_IH1_Z_ER0_Z|K_AH1_T
シスコン	sister|complex	S_IH1_S_T_ER0|K_AA1_M_P_L_EH0_K_S
